query_id,query,positive,negative,positive_id,negative_id,query_language
BG_1_1_sa_en,धृतराष्ट्र उवाच |धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः |मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय |,"Dhritarashtra said: Sanjaya, gathered on the sacred soil of Kurukshetra, eager to fight, what did my children and the children of Pandu do?","Arjuna, during the Final Dissolution all beings enter My Prakrti, and at the beginning of creation, I send them forth again.",BG_1_1,BG_9_7,sanskrit
BG_1_2_sa_en,सञ्जय उवाच |दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा |आचार्यमुपसंगम्य राजा वचनमब्रवीत् |,"Sanjaya said: At that time, seeing the army of the Pandavas drawn up for battle and approaching Dronacharya King Duryodhana spoke these words:","O Lord, if You think that it is possible for me to behold that form by me, then show me that imperishable form, O Lord of Yoga.",BG_1_2,BG_11_4,sanskrit
BG_1_3_sa_en,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् |व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता |,"Behold, Master, the mighty army of the sons of Pandu arrayed for battle by your talented pupil, Dhristadyumna, son of Drupada.","The devotees who worship the gods with faith and perform sacrifices, they also worship Me, O son of Kunti, performing their duties in the prescribed manner.",BG_1_3,BG_9_23,sanskrit
BG_1_4_sa_en,अत्र शूरा महेष्वासा भीमार्जुनसमा युधि |युयुधानो विराटश्च द्रुपदश्च महारथः |,"The strong Yodhamanyu and the brave Uttamaujas, the son\nof Subhadra, and the sons of Draupadi, all of great chariots","And the excellent archer, the King of Kasi and Sikhandi the Maharathi,",BG_1_4,BG_1_17,sanskrit
BG_1_5_sa_en,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् |पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुंगवः |,"Dhrishtaketu, chekitana and the valiant king of Kasi, Purujit and Kuntibhoja and Saibya, the best men","And the excellent archer, the King of Kasi and Sikhandi the Maharathi,",BG_1_5,BG_1_17,sanskrit
BG_1_6_sa_en,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः |,"the best of men and mighty Yudhamanyu, and valiant Uttamauja, Abhimanyu, the son of Subhadra, and the five sons of Draupadi,—all of them Maharathis.","And the excellent archer, the King of Kasi and Sikhandi the Maharathi,",BG_1_6,BG_1_17,sanskrit
BG_1_7_sa_en,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम |नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते |,"Know also, O best among the twice-born! the names of those who are the most distinguished amongst ourselves, the leaders of my army; these I name to thee for thy information.","And keep it there till I have carefully observed these warriors drawn up for battle, and have seen with whom I have to engage in this fight.",BG_1_7,BG_1_22,sanskrit
BG_1_9_sa_en,अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः |नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः |,"And there are many other heroes, equipped with various weapons and missiles, who have staked their lives for me, all skilled in warfare.","And the excellent archer, the King of Kasi and Sikhandi the Maharathi,",BG_1_9,BG_1_17,sanskrit
BG_1_10_sa_en,अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् |पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् |,"This army of ours, fully protected byBhishma, is unconquerable; while that army of theirs, guarded in every way by Bhima, is easy to conquer.",Besides: considering your own duty too you should not waver; for there is nothing superior for a warrior than a righteous war.,BG_1_10,BG_2_31,sanskrit
BG_1_12_sa_en,तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः |सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् |,"The grand old man of the Kaurava race, their glorious grand-uncle Bhishma, cheering up Duryodhana, roared terribly like a lion and blew his conch.","There he attains the union of intellect, born of the merits of past lives; and then he strives again, O Kurunandana, for perfection.",BG_1_12,BG_6_43,sanskrit
BG_1_13_sa_en,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः |सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् |,"Then conches kettledrums tabors, drums and trumpets suddenly blared forth and the noise was tumultuous.","And the excellent archer, the King of Kasi and Sikhandi the Maharathi,",BG_1_13,BG_1_17,sanskrit
BG_1_14_sa_en,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ |माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः |,"Then seated in a glorious chariot drawn by white horses, Shree Krishna as well as Arjuna blew their celestial conches.","And the excellent archer, the King of Kasi and Sikhandi the Maharathi,",BG_1_14,BG_1_17,sanskrit
BG_1_16_sa_en,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः |नकुलः सहदेवश्च सुघोषमणिपुष्पकौ |,"King Yudhisthira, son of Kunti, blew his conch Anantavijaya; while Nakula and Sahadeva blew theirs, known as Sughosa and Manipuspaka respectively.","And the excellent archer, the King of Kasi and Sikhandi the Maharathi,",BG_1_16,BG_1_17,sanskrit
BG_1_17_sa_en,काश्यश्च परमेष्वासः शिखण्डी च महारथः |धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः |,"And the excellent archer, the King of Kasi and Sikhandi the Maharathi,","The faithful, the devoted, and the self-controlled attain knowledge; having obtained knowledge, they soon reach supreme peace.",BG_1_17,BG_4_39,sanskrit
BG_1_18_sa_en,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते |सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् |,"and the sons of Drupada and Draupadi, and the mighty-armed Subhadra's son Abhimanyu—all of them, O King, blew their respective conches separately.","The Supreme Person is yet other than these, who, having entered all the three worlds, upholds and maintains all, and has been spoken of as the imperishable Lord and the supreme Spirit.",BG_1_18,BG_15_17,sanskrit
BG_1_20_sa_en,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः |प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः |हृषीकेशं तदा वाक्यमिदमाह महीपते |,"Then, seeing the arranged armies of the sons of Dhritarashtra, the one with the banner of Hanumantook up his bow, ready for battle. Now, O lord of the earth, seeing your sons arrayed against him, and when missiles were ready to be hurled, Arjuna, son of Pandu, took up his bow and then addressed the following words to Shree Krishna; Krishna, place my chariot between the two armies.","And keep it there till I have carefully observed these warriors drawn up for battle, and have seen with whom I have to engage in this fight.",BG_1_20,BG_1_22,sanskrit
BG_1_22_sa_en,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् |कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे |,"And keep it there till I have carefully observed these warriors drawn up for battle, and have seen with whom I have to engage in this fight.","On those ever united through meditation, with Me and worshipping Me with love, I confer that Yoga of wisdom through which they come to Me.",BG_1_22,BG_10_10,sanskrit
BG_1_24_sa_en,सञ्जय उवाच |एवमुक्तो हृषीकेशो गुडाकेशेन भारत |सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् |,"Thus addressed, Hrishikesha, the son of Gudakesha, stationed the best chariot in the midst of the armies, sounding the war-cry.","Arjuna, happy are the Ksatriyas who get such an unsolicited opportunity for war; which opens the door to heaven.",BG_1_24,BG_2_32,sanskrit
BG_1_25_sa_en,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् |उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति |,"At the head of all the kings, led by Bhishma and Drona, Arjuna, O son of Kunti, behold these Kurus gathered together","Arjuna, during the Final Dissolution all beings enter My Prakrti, and at the beginning of creation, I send them forth again.",BG_1_25,BG_9_7,sanskrit
BG_1_26_sa_en,तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान् |आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा |,"Now Arjuna saw stationed there in both the armies his uncles, grand-uncles and teachers, even great grand-uncles, maternal uncles, brothers and cousins, sons and nephews, and grand-nephews, even so friends, fathers-in-law and well-wishers as well.","And the excellent archer, the King of Kasi and Sikhandi the Maharathi,",BG_1_26,BG_1_17,sanskrit
BG_1_27_sa_en,श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि |तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् |,"Seeing all those relations present there, Arjuna was filled with deep compassion, and uttered these words in sadness..","Therefore, Arjuna, he whose senses are restrained in all respects from their objects, his intelligence is firmly established.",BG_1_27,BG_2_68,sanskrit
BG_1_28_sa_en,कृपया परयाविष्टो विषीदन्निदमब्रवीत् |अर्जुन उवाच |दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् |,"Arjuna said—O Krishna! Seeing my own kinsmen eager to fight, my limbs are weakening, my mouth is drying up, and my body is trembling with shivers and goosebumps.","Die, and you will win heaven; conquer, and you enjoy sovereignty of the earth; therefore, stand up, Arjuna, determined to fight.",BG_1_28,BG_2_37,sanskrit
BG_1_29_sa_en,सीदन्ति मम गात्राणि मुखं च परिशुष्यति |वेपथुश्च शरीरे मे रोमहर्षश्च जायते |,"My mouth is drying up, my body shivers, and my hair stands on end.","Arjuna, whenever righteousness is on the decline, and unrighteousness is in the ascendant, then I body Myself forth.",BG_1_29,BG_4_7,sanskrit
BG_1_30_sa_en,गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते |न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः |,"The bow, Gandiva, slips from my hand and my skin too burns all over; my brain is whirling, as it were, and I can stand no longer.","Having subdued his mind and body, and given up all objects of enjoyment, and free from craving; he who performs sheer bodily actions, does not incur sin.",BG_1_30,BG_4_21,sanskrit
BG_1_31_sa_en,निमित्तानि च पश्यामि विपरीतानि केशव |न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे |,"And, Keshava, I see such omens of evil, nor do I see any good in killing my kinsmen in battle","Arjuna, whenever righteousness is on the decline, and unrighteousness is in the ascendant, then I body Myself forth.",BG_1_31,BG_4_7,sanskrit
BG_1_32_sa_en,न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च |किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा |,"Krishna, I do not covet victory, nor kingdom nor pleasures. Govinda, of what use will kingdom, or luxuries, or even life be to us!","Die, and you will win heaven; conquer, and you enjoy sovereignty of the earth; therefore, stand up, Arjuna, determined to fight.",BG_1_32,BG_2_37,sanskrit
BG_1_33_sa_en,येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च |त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च |,"Those very persons for whose sake we covet the throne, luxuries and pleasures—are here arrayed on the battlefield, having renounced wealth and even life itself.","Even if these people, with minds blinded by greed; perceive no evil in destroying their own race",BG_1_33,BG_1_38,sanskrit
BG_1_34_sa_en,आचार्याः पितरः पुत्रास्तथैव च पितामहाः |मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा |,"Teachers, fathers, sons, grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law and other relatives are also present here in battle.","I am the father of this world, the mother, the support, and the grandsire; I am the object of knowledge, the purifier, the syllable Om; I am the Rig, Sama, and Yajur Vedas.",BG_1_34,BG_9_17,sanskrit
BG_1_35_sa_en,एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन |अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते |,"O Slayer of Madhu, I do not want to kill them, though they should slay me, even for the throne of the three worlds; how much the less from earthly lordship!","For I am the enjoyer and also the lord of all sacrifices; but they know Me not in reality, hence they fall.",BG_1_35,BG_9_24,sanskrit
BG_1_36_sa_en,निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन |पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः |,"Krishna, how can we hope to be happy slaying the sons of Dhrtarastra; killing these desperadoes sin will surely take hold of us.","Even if these people, with minds blinded by greed; perceive no evil in destroying their own race",BG_1_36,BG_1_38,sanskrit
BG_1_37_sa_en,तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान् |स्वजनं हि कथं हत्वा सुखिनः स्याम माधव |,"Therefore, Krishna, it does not behove us to kill our relations, the sons of Dhritarashtra. For how can we be happy after killing our own kinsmen?","Shree Bhagavan said: Arjuna, hear once again My supreme word, which I shall speak to you, who are so loving, out of solicitude for your welfare.",BG_1_37,BG_10_1,sanskrit
BG_1_38_sa_en,यद्यप्येते न पश्यन्ति लोभोपहतचेतसः |कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् |,"Even if these people, with minds blinded by greed; perceive no evil in destroying their own race","They, however, who, finding fault with this teaching of Mine, do not follow it, take those fools to be deluded in the matter of all knowledge, and lost.",BG_1_38,BG_3_32,sanskrit
BG_1_41_sa_en,अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः |स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः |,"With the preponderance of vice, Krishna, the women of the family become corrupt; and with the corruption of women, O descendant of Vrsni, there ensues an intermixture of castes.","Krishna, we hear that men who have lost their family traditions dwell in hell for an indefinite period of time.",BG_1_41,BG_1_44,sanskrit
BG_1_42_sa_en,सङ्करो नरकायैव कुलघ्नानां कुलस्य च |पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः |,Admixture of blood damns the destroyers of the race as well as the race itself. Deprived of the offerings of rice and waterthe manes of their race also fall.,"The devotees who worship the gods with faith and perform sacrifices, they also worship Me, O son of Kunti, performing their duties in the prescribed manner.",BG_1_42,BG_9_23,sanskrit
BG_1_44_sa_en,उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन |नरके नियतं वासो भवतीत्यनुशुश्रुम (or नरकेऽनियतं) |,"Krishna, we hear that men who have lost their family traditions dwell in hell for an indefinite period of time.","O creator of beings, O Ruler of creatures, O God of gods, the Lord of the universe, O supreme Purusha, You alone know what You are by Yourself.",BG_1_44,BG_10_15,sanskrit
BG_1_45_sa_en,अहो बत महत्पापं कर्तुं व्यवसिता वयम् |यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः |,Oh what a pity! Though possessed of intelligence we have set our mind on the commission of a great sin in that due to lust,"For, he who kills not himself by himself be seeing the supreme Lord, equally present in all, as one, thereby reaches the supreme state.",BG_1_45,BG_13_29,sanskrit
BG_1_46_sa_en,यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः |धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् |,"It would be better for me if the sons of Dhritarashtra, armed with weapons, killed me in battle while I was unarmed and unresisting.","Arjuna, whenever righteousness is on the decline, and unrighteousness is in the ascendant, then I body Myself forth.",BG_1_46,BG_4_7,sanskrit
BG_1_47_sa_en,सञ्जय उवाच |एवमुक्त्वार्जुनः सङ्ख्ये रथोपस्थ उपाविशत् |विसृज्य सशरं चापं शोकसंविग्नमानसः |,"Thus addressed, Sanjaya, standing in the midst of the armies, sat down on the chariot’s seat, his mind overwhelmed with grief, and having set aside his bow and arrows.","Sanjaya said: Shree Krishna then addressed the following words to Arjuna, who was as mentioned before overwhelmed with pity, whose eyes were filled with tears and agitated, and who was full of sorrow.",BG_1_47,BG_2_1,sanskrit
BG_2_1_sa_en,सञ्जय उवाच |तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् |विषीदन्तमिदं वाक्यमुवाच मधुसूदनः |,"Sanjaya said: Shree Krishna then addressed the following words to Arjuna, who was as mentioned before overwhelmed with pity, whose eyes were filled with tears and agitated, and who was full of sorrow.","Krishna, it behoves You to slash this doubt of mine completely; for none other than You can be found, who can tear this doubt.",BG_2_1,BG_6_39,sanskrit
BG_2_3_sa_en,क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते |क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप |,"Yield not to unmanliness, Arjuna; ill does it become you. Shaking off this paltry faint-heartedness stand up, O scorcher of enemies.","For, I am the ground of the imperishable Brahma, of immortality, of the eternal virtue and of unending immutable bliss.",BG_2_3,BG_14_27,sanskrit
BG_2_5_sa_en,गुरूनहत्वा हि महानुभावान्श्रेयो भोक्तुं भैक्ष्यमपीह लोके |हत्वार्थकामांस्तु गुरूनिहैवभुञ्जीय भोगान् रुधिरप्रदिग्धान् |,"Therefore, I consider it better not to kill these venerable teachers in this world, even if it means living on alms. For if I kill the teachers, I shall enjoy only the blood-stained wealth and pleasures of this world.","Those who eat the remnants of sacrifices go to the eternal Brahman; this world does not exist for one who does not perform sacrifices, how then can there be any fruit for him, O best of the Kurus?",BG_2_5,BG_4_31,sanskrit
