chapter,verse,sanskrit,english,transliteration,verse_id
1,1,धृतराष्ट्र उवाच |धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः |मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय |,"Dhritarashtra said: Sanjaya, gathered on the sacred soil of Kurukshetra, eager to fight, what did my children and the children of Pandu do?",dhṛtarāṣṭra uvāca .dharmakṣetre kurukṣetre samavetā yuyutsavaḥ .māmakāḥ pāṇḍavāścaiva kimakurvata sañjaya,BG_1_1
1,2,सञ्जय उवाच |दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा |आचार्यमुपसंगम्य राजा वचनमब्रवीत् |,"Sanjaya said: At that time, seeing the army of the Pandavas drawn up for battle and approaching Dronacharya King Duryodhana spoke these words:",sañjaya uvāca .dṛṣṭvā tu pāṇḍavānīkaṃ vyūḍhaṃ duryodhanastadā .ācāryamupasaṃgamya rājā vacanamabravīt,BG_1_2
1,3,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् |व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता |,"Behold, Master, the mighty army of the sons of Pandu arrayed for battle by your talented pupil, Dhristadyumna, son of Drupada.",paśyaitāṃ pāṇḍuputrāṇāmācārya mahatīṃ camūm .vyūḍhāṃ drupadaputreṇa tava śiṣyeṇa dhīmatā,BG_1_3
1,4,अत्र शूरा महेष्वासा भीमार्जुनसमा युधि |युयुधानो विराटश्च द्रुपदश्च महारथः |,"The strong Yodhamanyu and the brave Uttamaujas, the son\nof Subhadra, and the sons of Draupadi, all of great chariots",atra śūrā maheṣvāsā bhīmārjunasamā yudhi .yuyudhāno virāṭaśca drupadaśca mahārathaḥ,BG_1_4
1,5,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् |पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुंगवः |,"Dhrishtaketu, chekitana and the valiant king of Kasi, Purujit and Kuntibhoja and Saibya, the best men",dhṛṣṭaketuścekitānaḥ kāśirājaśca vīryavān .purujitkuntibhojaśca śaibyaśca narapuṃgavaḥ,BG_1_5
1,6,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः |,"the best of men and mighty Yudhamanyu, and valiant Uttamauja, Abhimanyu, the son of Subhadra, and the five sons of Draupadi,—all of them Maharathis.",yudhāmanyuśca vikrānta uttamaujāśca vīryavān .saubhadro draupadeyāśca sarva eva mahārathāḥ,BG_1_6
1,7,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम |नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते |,"Know also, O best among the twice-born! the names of those who are the most distinguished amongst ourselves, the leaders of my army; these I name to thee for thy information.",asmākaṃ tu viśiṣṭā ye tānnibodha dvijottama .nāyakā mama sainyasya saṃjñārthaṃ tānbravīmi te,BG_1_7
1,9,अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः |नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः |,"And there are many other heroes, equipped with various weapons and missiles, who have staked their lives for me, all skilled in warfare.",anye ca bahavaḥ śūrā madarthe tyaktajīvitāḥ .nānāśastrapraharaṇāḥ sarve yuddhaviśāradāḥ,BG_1_9
1,10,अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् |पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् |,"This army of ours, fully protected byBhishma, is unconquerable; while that army of theirs, guarded in every way by Bhima, is easy to conquer.",aparyāptaṃ tadasmākaṃ balaṃ bhīṣmābhirakṣitam .paryāptaṃ tvidameteṣāṃ balaṃ bhīmābhirakṣitam,BG_1_10
1,12,तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः |सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् |,"The grand old man of the Kaurava race, their glorious grand-uncle Bhishma, cheering up Duryodhana, roared terribly like a lion and blew his conch.",tasya sañjanayanharṣaṃ kuruvṛddhaḥ pitāmahaḥ .siṃhanādaṃ vinadyoccaiḥ śaṅkhaṃ dadhmau pratāpavān,BG_1_12
